City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Padang,ID,2022-05-23 00:08:58,-0.9492,100.3543,71.65,80,91,3.62
1,Souillac,MU,2022-05-23 00:08:58,-20.5167,57.5167,72.43,71,3,10.47
2,Busselton,AU,2022-05-23 00:08:58,-33.65,115.3333,60.91,71,84,20.69
3,Saint George,US,2022-05-23 00:08:58,37.1041,-113.5841,85.95,10,0,10.36
4,Kampene,CD,2022-05-23 00:08:59,-3.6,26.6667,67.87,99,90,2.13
5,Severo-Kurilsk,RU,2022-05-23 00:08:59,50.6789,156.125,41.09,97,100,16.33
6,Puerto Ayora,EC,2022-05-23 00:08:59,-0.7393,-90.3518,72.75,87,67,8.01
7,Berlevag,NO,2022-05-23 00:04:28,70.8578,29.0864,39.15,81,100,1.14
8,Raga,SS,2022-05-23 00:08:59,8.4596,25.678,76.84,64,94,2.53
9,Sao Gabriel Da Cachoeira,BR,2022-05-23 00:09:00,-0.1303,-67.0892,71.22,97,59,0.87
10,Tasiilaq,GL,2022-05-23 00:09:00,65.6145,-37.6368,35.76,99,100,10.22
11,Lagoa,PT,2022-05-23 00:09:00,39.05,-27.9833,61.41,93,100,11.92
12,Ribeira Grande,PT,2022-05-23 00:09:00,38.5167,-28.7,64.35,94,100,4.23
13,Hirara,JP,2022-05-23 00:09:01,24.8,125.2833,77.45,81,96,18.14
14,Yar-Sale,RU,2022-05-23 00:09:01,66.8333,70.8333,34.14,93,99,27.83
15,Thompson,CA,2022-05-23 00:09:01,55.7435,-97.8558,62.64,23,100,8.43
16,Abha,SA,2022-05-23 00:05:33,18.2164,42.5053,64.65,27,0,0.0
17,Codrington,AU,2022-05-23 00:09:01,-38.2667,141.9667,52.84,65,1,5.06
18,Geraldton,AU,2022-05-23 00:09:02,-28.7667,114.6,64.81,77,75,14.97
19,Msowero,TZ,2022-05-23 00:09:02,-6.5333,37.2,64.72,90,87,1.43
20,Ushuaia,AR,2022-05-23 00:09:02,-54.8,-68.3,35.26,75,0,4.61
21,Lebu,CL,2022-05-23 00:09:03,-37.6167,-73.65,50.05,81,100,5.28
22,New Norfolk,AU,2022-05-23 00:09:03,-42.7826,147.0587,53.92,68,63,1.59
23,Kuminskiy,RU,2022-05-23 00:09:03,58.6667,66.5667,36.99,94,22,5.46
24,Jamestown,US,2022-05-23 00:08:29,42.097,-79.2353,55.02,89,100,9.22
25,Salalah,OM,2022-05-23 00:09:03,17.0151,54.0924,84.29,74,75,4.61
26,Rikitea,PF,2022-05-23 00:09:04,-23.1203,-134.9692,75.51,78,13,14.38
27,Saint-Philippe,RE,2022-05-23 00:09:04,-21.3585,55.7679,67.59,72,40,9.93
28,Qaanaaq,GL,2022-05-23 00:09:04,77.484,-69.3632,27.1,78,100,4.88
29,Narsaq,GL,2022-05-23 00:09:05,60.9167,-46.05,39.42,91,97,7.96
30,Cherskiy,RU,2022-05-23 00:09:05,68.75,161.3,56.57,38,85,18.34
31,Hasaki,JP,2022-05-23 00:09:05,35.7333,140.8333,64.29,81,96,12.19
32,Jiwani,PK,2022-05-23 00:09:05,25.05,61.7417,84.51,79,0,7.7
33,Villefranche-De-Rouergue,FR,2022-05-23 00:09:06,44.3333,2.0,72.37,80,89,3.67
34,San Angelo,US,2022-05-23 00:07:52,31.4638,-100.437,82.62,35,0,10.36
35,Karratha,AU,2022-05-23 00:09:06,-20.7377,116.8463,77.72,72,99,5.53
36,Bhola,BD,2022-05-23 00:09:06,22.6833,90.65,82.49,82,21,5.23
37,Nuuk,GL,2022-05-23 00:09:07,64.1835,-51.7216,34.41,93,75,36.82
38,Dikson,RU,2022-05-23 00:09:07,73.5069,80.5464,24.06,89,76,10.47
39,Coquimbo,CL,2022-05-23 00:09:07,-29.9533,-71.3436,56.93,94,0,3.44
40,Guiratinga,BR,2022-05-23 00:09:07,-16.3494,-53.7583,63.01,43,15,2.75
41,Mar Del Plata,AR,2022-05-23 00:06:24,-38.0023,-57.5575,54.95,69,0,3.44
42,Lompoc,US,2022-05-23 00:09:08,34.6391,-120.4579,69.94,71,0,20.0
43,Matehuala,MX,2022-05-23 00:09:08,23.65,-100.65,70.36,53,32,12.08
44,Tadine,NC,2022-05-23 00:09:08,-21.55,167.8833,78.84,78,42,11.86
45,Ilulissat,GL,2022-05-23 00:09:08,69.2167,-51.1,33.82,93,100,4.61
46,Port Alfred,ZA,2022-05-23 00:09:09,-33.5906,26.891,59.83,80,61,5.35
47,Hamilton,US,2022-05-23 00:06:46,39.1834,-84.5333,65.98,67,0,11.5
48,Chokurdakh,RU,2022-05-23 00:09:09,70.6333,147.9167,33.12,100,100,5.68
49,Penugonda,IN,2022-05-23 00:09:09,16.6667,81.7333,84.96,59,15,6.08
50,Kapaa,US,2022-05-23 00:09:09,22.0752,-159.319,81.48,82,75,11.5
51,Quime,BO,2022-05-23 00:09:10,-16.9833,-67.2167,44.98,58,8,4.36
52,Hilo,US,2022-05-23 00:08:50,19.7297,-155.09,85.28,58,0,9.22
53,Pacific Grove,US,2022-05-23 00:09:10,36.6177,-121.9166,72.01,77,0,12.66
54,Tutoia,BR,2022-05-23 00:09:10,-2.7619,-42.2744,76.71,86,62,3.44
55,Karasjok,NO,2022-05-23 00:09:11,69.4719,25.5112,41.43,83,93,2.28
56,Ngunguru,NZ,2022-05-23 00:09:11,-35.6167,174.5,62.4,66,98,11.59
57,Carnarvon,AU,2022-05-23 00:09:11,-24.8667,113.6333,70.25,58,42,14.29
58,Upernavik,GL,2022-05-23 00:09:11,72.7868,-56.1549,31.48,85,100,24.58
59,Kahului,US,2022-05-23 00:09:12,20.8947,-156.47,89.62,51,20,25.32
60,Castro,BR,2022-05-23 00:09:12,-24.7911,-50.0119,49.14,81,28,2.57
61,Kenai,US,2022-05-23 00:09:12,60.5544,-151.2583,71.02,27,0,14.97
62,Den Helder,NL,2022-05-23 00:06:10,52.9599,4.7593,60.98,70,100,10.36
63,Nizwa,OM,2022-05-23 00:09:12,22.9333,57.5333,83.48,26,0,0.78
64,Paternion,AT,2022-05-23 00:09:13,46.7142,13.6361,65.32,96,89,1.14
65,Znamenskoye,RU,2022-05-23 00:09:13,57.1281,73.8282,44.13,89,59,10.74
66,Nikolskoye,RU,2022-05-23 00:09:13,59.7035,30.7861,45.88,56,30,2.98
67,San Patricio,US,2022-05-23 00:09:13,28.017,-97.5169,85.06,57,100,10.45
68,Vestmannaeyjar,IS,2022-05-23 00:09:14,63.4427,-20.2734,49.6,76,2,4.45
69,Bridgetown,BB,2022-05-23 00:09:14,13.1,-59.6167,79.9,75,95,14.54
70,Khatanga,RU,2022-05-23 00:09:14,71.9667,102.5,32.4,88,100,8.03
71,Alofi,NU,2022-05-23 00:09:14,-19.0595,-169.9187,80.13,70,8,11.34
72,Laguna,US,2022-05-23 00:09:15,38.421,-121.4238,92.14,16,0,12.66
73,Malmesbury,ZA,2022-05-23 00:09:15,-33.4608,18.7271,52.97,90,43,1.74
74,Bredasdorp,ZA,2022-05-23 00:09:15,-34.5322,20.0403,54.86,90,78,4.0
75,Goure,NE,2022-05-23 00:09:15,13.9835,10.2704,81.52,16,44,5.95
76,Kodiak,US,2022-05-23 00:09:16,57.79,-152.4072,47.71,81,100,14.97
77,Meadow Lake,US,2022-05-23 00:09:16,34.8014,-106.5436,76.6,22,73,25.77
78,Atuona,PF,2022-05-23 00:09:16,-9.8,-139.0333,77.92,79,28,17.74
79,Tuktoyaktuk,CA,2022-05-23 00:09:16,69.4541,-133.0374,30.31,71,54,11.45
80,Namibe,AO,2022-05-23 00:09:17,-15.1961,12.1522,68.49,72,0,5.64
81,Mataura,NZ,2022-05-23 00:09:17,-46.1927,168.8643,47.52,76,88,7.94
82,Avarua,CK,2022-05-23 00:09:17,-21.2078,-159.775,79.34,78,15,14.05
83,Caucaia,BR,2022-05-23 00:05:37,-3.7361,-38.6531,82.04,75,10,4.45
84,East London,ZA,2022-05-23 00:09:17,-33.0153,27.9116,59.45,83,20,4.79
85,Ponta Do Sol,PT,2022-05-23 00:09:18,32.6667,-17.1,67.71,77,11,4.12
86,Clyde River,CA,2022-05-23 00:09:18,70.4692,-68.5914,19.63,86,100,23.02
87,Suntar,RU,2022-05-23 00:09:18,62.1444,117.6319,59.97,53,38,3.36
88,Hithadhoo,MV,2022-05-23 00:09:18,-0.6,73.0833,83.77,71,98,13.2
89,Baruun-Urt,MN,2022-05-23 00:09:19,46.6806,113.2792,66.61,27,6,9.69
90,Dalvik,IS,2022-05-23 00:09:19,65.9702,-18.5286,38.16,96,100,3.83
91,Ketchikan,US,2022-05-23 00:09:19,55.3422,-131.6461,54.07,71,20,13.8
92,Tazovskiy,RU,2022-05-23 00:09:20,67.4667,78.7,37.08,90,97,17.31
93,Lavrentiya,RU,2022-05-23 00:09:20,65.5833,-171.0,40.46,80,100,5.88
94,Urucuca,BR,2022-05-23 00:09:20,-14.5931,-39.2844,65.62,98,2,3.06
95,Bengkulu,ID,2022-05-23 00:09:20,-3.8004,102.2655,76.1,88,32,3.51
96,Arona,ES,2022-05-23 00:09:20,28.0996,-16.681,62.13,70,20,14.97
97,Punta Arenas,CL,2022-05-23 00:09:21,-53.15,-70.9167,30.31,93,40,8.05
98,Faya,SA,2022-05-23 00:09:21,18.3851,42.4509,64.92,30,0,1.3
99,Erenhot,CN,2022-05-23 00:09:21,43.6475,111.9767,70.99,29,88,3.24
100,Bambous Virieux,MU,2022-05-23 00:09:22,-20.3428,57.7575,71.22,71,14,13.06
101,Bluff,NZ,2022-05-23 00:09:22,-46.6,168.3333,52.07,74,98,30.49
102,Talnakh,RU,2022-05-23 00:09:22,69.4865,88.3972,33.21,100,100,5.46
103,Olinda,BR,2022-05-23 00:09:22,-8.0089,-34.8553,77.58,83,3,15.68
104,Manono,CD,2022-05-23 00:09:23,-7.3,27.4167,71.71,67,95,2.64
105,Barrow,US,2022-05-23 00:09:23,71.2906,-156.7887,24.82,86,100,10.36
106,Chuy,UY,2022-05-23 00:09:23,-33.6971,-53.4616,53.22,82,66,5.95
107,Sao Miguel Do Araguaia,BR,2022-05-23 00:09:23,-13.275,-50.1628,67.64,43,4,3.47
108,Maiduguri,NG,2022-05-23 00:07:41,11.8464,13.1603,85.37,15,24,7.9
109,Albany,US,2022-05-23 00:04:24,42.6001,-73.9662,68.59,89,94,1.01
110,Grand Gaube,MU,2022-05-23 00:04:48,-20.0064,57.6608,71.38,79,3,3.0
111,Mahebourg,MU,2022-05-23 00:09:24,-20.4081,57.7,71.26,71,8,12.84
112,Ayagoz,KZ,2022-05-23 00:09:24,47.9714,80.4392,51.4,70,100,12.5
113,Bethel,US,2022-05-23 00:09:24,41.3712,-73.414,78.67,82,75,17.27
114,Hobart,AU,2022-05-23 00:09:24,-42.8794,147.3294,54.27,86,20,11.5
115,Alice Springs,AU,2022-05-23 00:09:25,-23.7,133.8833,58.55,58,22,0.0
116,Santa Fe,AR,2022-05-23 00:04:26,-31.6333,-60.7,63.01,76,31,3.0
117,Wanning,CN,2022-05-23 00:09:25,18.8003,110.3967,81.43,86,100,5.17
118,Cape Town,ZA,2022-05-23 00:06:03,-33.9258,18.4232,62.38,84,64,1.99
119,Singuilucan,MX,2022-05-23 00:09:25,19.9667,-98.5167,64.92,55,48,15.93
120,Riyadh,SA,2022-05-23 00:04:27,24.6877,46.7219,84.34,9,0,6.4
121,Charlottesville,US,2022-05-23 00:05:21,38.0293,-78.4767,74.41,93,0,3.44
122,Srednekolymsk,RU,2022-05-23 00:09:25,67.45,153.6833,56.62,38,80,12.01
123,Ahtopol,BG,2022-05-23 00:09:26,42.1,27.95,57.78,78,7,4.12
124,Fortuna,US,2022-05-23 00:09:26,40.5982,-124.1573,59.94,84,75,14.97
125,Shobara,JP,2022-05-23 00:09:26,34.85,133.0167,70.81,47,6,5.06
126,Toamasina,MG,2022-05-23 00:09:26,-18.1667,49.3833,70.32,90,27,4.5
127,Vaini,TO,2022-05-23 00:09:27,-21.2,-175.2,77.23,84,29,15.66
128,Provideniya,RU,2022-05-23 00:09:27,64.3833,-173.3,51.91,58,0,15.99
129,Dwarka,IN,2022-05-23 00:09:27,22.2394,68.9678,83.1,77,83,23.76
130,La Ronge,CA,2022-05-23 00:09:27,55.1001,-105.2842,58.84,31,99,12.03
131,Torbay,CA,2022-05-23 00:09:28,47.6666,-52.7314,54.75,66,93,10.85
132,Mayakonda,IN,2022-05-23 00:09:28,14.2833,76.0833,71.47,85,68,13.76
133,College,US,2022-05-23 00:09:28,64.8569,-147.8028,66.29,26,40,10.36
134,Ibra,OM,2022-05-23 00:09:28,22.6906,58.5334,81.7,49,0,4.85
135,Cockburn Town,TC,2022-05-23 00:09:29,21.4612,-71.1419,79.54,79,2,20.6
136,Daru,PG,2022-05-23 00:05:43,-9.0763,143.2092,82.6,78,47,13.33
137,Te Anau,NZ,2022-05-23 00:09:29,-45.4167,167.7167,47.3,75,14,1.5
138,Victoria,HK,2022-05-23 00:05:15,22.2855,114.1577,76.96,93,96,18.99
139,Xiongyue,CN,2022-05-23 00:09:29,40.1774,122.1228,73.78,47,68,11.54
140,Merauke,ID,2022-05-23 00:09:29,-8.4667,140.3333,83.08,72,22,12.33
141,Airai,TL,2022-05-23 00:09:30,-8.9266,125.4092,66.87,66,45,4.47
142,Leua,SK,2022-05-23 00:09:30,48.2156,18.6071,52.45,78,28,5.12
143,Shanghai,CN,2022-05-23 00:05:16,31.2222,121.4581,70.88,73,0,13.42
144,Poum,NC,2022-05-23 00:09:30,-20.2333,164.0167,79.18,80,3,11.83
145,Tiksi,RU,2022-05-23 00:09:30,71.6872,128.8694,30.72,90,70,4.59
146,Ronne,DK,2022-05-23 00:09:31,55.1009,14.7066,44.51,100,15,3.44
147,Conde,BR,2022-05-23 00:09:31,-7.2597,-34.9075,74.66,100,100,3.44
148,Nanortalik,GL,2022-05-23 00:09:31,60.1432,-45.2371,35.17,92,93,8.93
149,Palauig,PH,2022-05-23 00:09:31,15.435,119.9045,81.99,80,100,10.65
150,Bereda,ES,2022-05-23 00:09:32,43.2686,-7.5406,59.41,99,96,2.73
151,Zhenhai,CN,2022-05-23 00:09:33,24.2582,118.0905,72.09,87,96,7.02
152,Caravelas,BR,2022-05-23 00:09:33,-17.7125,-39.2481,69.58,80,15,6.78
153,Bambanglipuro,ID,2022-05-23 00:04:52,-7.95,110.2833,78.21,83,55,4.72
154,Norman Wells,CA,2022-05-23 00:09:33,65.282,-126.8329,47.89,50,100,4.79
155,Hermanus,ZA,2022-05-23 00:08:20,-34.4187,19.2345,58.98,83,62,7.49
156,Kazachinskoye,RU,2022-05-23 00:09:34,57.6953,93.2761,54.48,64,13,5.41
157,Victoria Point,AU,2022-05-23 00:09:34,-27.5833,153.3,70.18,85,98,7.0
158,Faanui,PF,2022-05-23 00:09:34,-16.4833,-151.75,81.07,69,10,14.41
159,Pampa,US,2022-05-23 00:09:34,35.5362,-100.9599,71.56,26,0,13.8
160,Byron Bay,AU,2022-05-23 00:09:35,-28.65,153.6167,61.72,83,84,11.25
161,Gat,IL,2022-05-23 00:09:35,31.61,34.7642,66.4,100,1,9.78
162,Biak,ID,2022-05-23 00:09:35,-0.9131,122.8766,79.36,75,95,5.06
163,Arraial Do Cabo,BR,2022-05-23 00:09:35,-22.9661,-42.0278,71.26,71,1,15.32
164,Charters Towers,AU,2022-05-23 00:09:36,-20.1,146.2667,70.5,70,88,11.5
165,Colares,PT,2022-05-23 00:09:36,38.7992,-9.4469,64.29,76,82,25.01
166,Vila Velha,BR,2022-05-23 00:09:36,-20.3297,-40.2925,70.9,71,71,1.3
167,Kaitangata,NZ,2022-05-23 00:09:36,-46.2817,169.8464,50.16,70,95,16.62
168,Marolambo,MG,2022-05-23 00:09:37,-20.05,48.1167,61.43,99,18,1.97
169,Nurota,UZ,2022-05-23 00:09:37,40.5614,65.6886,58.08,40,1,5.95
170,Georgetown,MY,2022-05-23 00:05:40,5.4112,100.3354,80.53,89,20,0.0
171,Lasa,IT,2022-05-23 00:09:37,46.6166,10.7002,55.36,83,100,2.35
172,Jalu,LY,2022-05-23 00:09:37,29.0331,21.5482,69.84,31,0,7.07
173,Longyearbyen,SJ,2022-05-23 00:09:38,78.2186,15.6401,35.44,87,75,2.3
174,Bellingham,US,2022-05-23 00:07:17,48.7595,-122.4882,72.48,54,0,4.61
175,Esso,RU,2022-05-23 00:09:38,55.9333,158.7,39.85,100,85,3.69
176,Bousso,TD,2022-05-23 00:09:38,10.4795,16.7117,89.46,33,85,0.67
177,Yellowknife,CA,2022-05-23 00:09:38,62.456,-114.3525,37.56,64,100,8.01
178,Marovoay,MG,2022-05-23 00:09:39,-16.1,46.6333,75.09,64,93,4.59
179,Mgandu,TZ,2022-05-23 00:09:39,-5.95,34.1333,59.67,70,46,3.76
180,Verkhoyansk,RU,2022-05-23 00:09:39,67.5447,133.385,48.54,65,50,3.83
181,Butaritari,KI,2022-05-23 00:09:39,3.0707,172.7902,82.15,78,53,12.62
182,Mansa,IN,2022-05-23 00:09:39,29.9833,75.3833,84.79,34,52,16.24
183,San Isidro,PE,2022-05-23 00:04:51,-12.1167,-77.05,66.02,76,100,5.75
184,Marawi,PH,2022-05-23 00:09:40,7.9986,124.2928,71.51,90,100,1.66
185,Angoche,MZ,2022-05-23 00:05:34,-16.2325,39.9086,73.9,87,0,5.35
186,Port Shepstone,ZA,2022-05-23 00:07:32,-30.7414,30.455,61.79,76,86,8.37
187,Santa Maria,BR,2022-05-23 00:09:40,-29.6842,-53.8069,52.97,92,41,4.45
188,Hervey Bay,AU,2022-05-23 00:09:40,-25.2986,152.8535,71.02,80,99,5.01
189,Coihaique,CL,2022-05-23 00:09:40,-45.5752,-72.0662,35.55,87,100,5.75
190,Hobyo,SO,2022-05-23 00:06:15,5.3505,48.5268,80.28,81,90,27.31
191,Buala,SB,2022-05-23 00:09:41,-8.145,159.5921,85.14,69,22,4.97
192,Forbes,AU,2022-05-23 00:09:41,-33.3833,148.0167,65.91,68,24,9.6
193,Laizhou,CN,2022-05-23 00:09:41,37.1717,119.9214,78.8,37,18,6.93
194,Herat,AF,2022-05-23 00:09:41,34.5,62.0,50.63,53,1,8.7
195,Pisco,PE,2022-05-23 00:09:42,-13.7,-76.2167,66.02,88,75,6.91
196,Lazarev,RU,2022-05-23 00:09:42,52.225,141.5131,33.6,91,100,5.17
197,Leningradskiy,RU,2022-05-23 00:09:42,69.3833,178.4167,37.33,91,96,4.59
198,Port Elizabeth,ZA,2022-05-23 00:09:42,-33.918,25.5701,57.97,82,97,3.67
199,Beringovskiy,RU,2022-05-23 00:09:43,63.05,179.3167,42.6,73,96,10.8
200,Shimoda,JP,2022-05-23 00:09:43,34.6667,138.95,66.56,72,7,4.63
201,Ancud,CL,2022-05-23 00:09:43,-41.8697,-73.8203,47.79,73,20,16.28
202,Muros,ES,2022-05-23 00:09:43,42.7762,-9.0603,59.68,92,35,2.13
203,Wyndham,US,2022-05-23 00:09:44,37.6985,-77.6125,84.11,62,40,12.66
204,Tautira,PF,2022-05-23 00:09:44,-17.7333,-149.15,79.65,74,22,12.17
205,Innisfail,AU,2022-05-23 00:09:44,-17.5333,146.0333,75.81,79,88,8.12
206,Imeni Poliny Osipenko,RU,2022-05-23 00:09:44,52.4201,136.4853,46.13,59,79,5.95
207,Hearst,CA,2022-05-23 00:05:02,49.6835,-83.6665,46.54,53,98,5.84
208,Beruwala,LK,2022-05-23 00:09:45,6.4788,79.9828,79.63,85,63,9.57
209,Ongandjera,NA,2022-05-23 00:09:45,-17.8833,15.0667,56.7,24,0,9.01
210,Miyako,JP,2022-05-23 00:09:45,39.6367,141.9525,58.6,81,100,5.23
211,Saskylakh,RU,2022-05-23 00:09:45,71.9167,114.0833,33.03,93,100,9.22
212,Keetmanshoop,NA,2022-05-23 00:09:45,-26.5833,18.1333,55.49,55,11,8.28
213,Yumen,CN,2022-05-23 00:09:46,40.2833,97.2,65.5,35,16,20.11
214,Sindi,IN,2022-05-23 00:09:46,20.8,78.8667,88.68,45,0,17.2
215,Sur,OM,2022-05-23 00:09:46,22.5667,59.5289,92.41,38,0,17.05
216,Conceicao Da Barra,BR,2022-05-23 00:07:01,-18.5933,-39.7322,68.94,73,25,4.25
217,Ulaangom,MN,2022-05-23 00:09:46,49.9811,92.0667,70.14,25,99,6.38
218,Tumaco,CO,2022-05-23 00:09:47,1.7986,-78.8156,78.15,88,66,7.31
219,Busayra,JO,2022-05-23 00:09:47,30.7376,35.6078,54.23,71,0,8.46
220,Wamba,NG,2022-05-23 00:08:11,8.9333,8.6,73.69,88,99,2.08
221,Carinhanha,BR,2022-05-23 00:09:47,-14.3047,-43.765,69.93,45,3,5.32
222,Makakilo City,US,2022-05-23 00:09:47,21.3469,-158.0858,82.72,57,75,16.11
223,Eureka,US,2022-05-23 00:09:48,40.8021,-124.1637,60.21,82,78,5.99
224,Muzhi,RU,2022-05-23 00:09:48,65.3667,64.6667,35.04,92,100,27.58
225,Puerto Leguizamo,CO,2022-05-23 00:09:48,-0.1934,-74.7819,72.72,96,49,1.83
226,Pevek,RU,2022-05-23 00:09:48,69.7008,170.3133,35.73,90,39,8.59
227,Skjervoy,NO,2022-05-23 00:09:49,70.0311,20.9714,41.0,83,99,5.19
228,Chamba,IN,2022-05-23 00:09:49,32.5667,76.1333,67.35,46,55,9.57
229,Pokhara,NP,2022-05-23 00:09:49,28.2333,83.9833,66.29,77,100,2.86
230,Whitehorse,CA,2022-05-23 00:09:49,60.7161,-135.0538,54.25,47,100,5.95
231,Nouadhibou,MR,2022-05-23 00:09:50,20.931,-17.0347,65.64,92,0,20.65
232,Prince George,CA,2022-05-23 00:09:50,53.9166,-122.753,71.29,23,36,5.01
233,Mizdah,LY,2022-05-23 00:09:50,31.4451,12.9801,65.57,26,0,4.18
234,Sao Joao Da Barra,BR,2022-05-23 00:09:50,-21.6403,-41.0511,70.05,71,12,9.24
235,Yatou,CN,2022-05-23 00:09:51,37.15,122.3833,73.69,49,76,10.78
236,Santa Cruz,BO,2022-05-23 00:06:01,-17.8,-63.1667,69.26,83,40,5.75
237,Vardo,NO,2022-05-23 00:09:51,70.3705,31.1107,37.38,93,100,17.27
238,Paskov,CZ,2022-05-23 00:09:51,49.7318,18.2904,51.51,96,0,2.3
239,Ileza,RU,2022-05-23 00:09:51,61.0533,43.9002,30.22,95,100,9.84
240,Iqaluit,CA,2022-05-23 00:09:52,63.7506,-68.5145,25.7,79,94,25.01
241,Muravlenko,RU,2022-05-23 00:09:52,63.7898,74.523,55.54,75,77,18.9
242,Cayenne,GF,2022-05-23 00:09:52,4.9333,-52.3333,82.09,1,0,0.0
243,Harper,LR,2022-05-23 00:09:52,4.375,-7.7169,75.9,92,100,11.65
244,Wajima,JP,2022-05-23 00:09:53,37.4,136.9,62.35,76,35,7.49
245,Westport,US,2022-05-23 00:08:12,41.1415,-73.3579,79.93,65,0,5.75
246,Katsuura,JP,2022-05-23 00:09:53,35.1333,140.3,67.17,84,27,4.12
247,Beisfjord,NO,2022-05-23 00:09:53,68.3751,17.5988,47.05,99,100,5.37
248,Inza,RU,2022-05-23 00:09:53,53.8533,46.3586,31.37,95,51,5.03
249,Pimentel,PE,2022-05-23 00:09:54,-6.8367,-79.9342,64.29,86,41,14.81
250,San Quintin,MX,2022-05-23 00:09:54,30.4833,-115.95,64.83,62,0,13.22
251,Puyang,CN,2022-05-23 00:09:54,29.4603,119.8861,65.37,97,100,4.09
252,Sorland,NO,2022-05-23 00:09:54,67.667,12.6934,46.26,89,88,6.35
253,San Juan De Los Morros,VE,2022-05-23 00:09:55,9.9115,-67.3538,78.69,58,65,3.4
254,Dali,CN,2022-05-23 00:09:55,25.7,100.1833,62.11,88,67,2.39
255,Itacare,BR,2022-05-23 00:09:55,-14.2775,-38.9967,74.3,79,1,10.98
256,Rio Grande,BR,2022-05-23 00:09:55,-32.035,-52.0986,57.22,80,1,7.92
257,Livingstone,ZM,2022-05-23 00:09:56,-17.8419,25.8543,47.7,53,0,2.48
258,Dembi Dolo,ET,2022-05-23 00:09:56,8.5333,34.8,58.26,91,100,3.94
259,Guerrero Negro,MX,2022-05-23 00:09:56,27.9769,-114.0611,65.41,62,0,19.08
260,Shelburne,CA,2022-05-23 00:09:56,44.0787,-80.2041,48.24,75,94,12.86
261,Deputatskiy,RU,2022-05-23 00:09:57,69.3,139.9,31.96,95,56,1.86
262,Saint-Augustin,CA,2022-05-23 00:09:57,51.226,-58.6502,46.13,94,75,8.79
263,Upington,ZA,2022-05-23 00:09:57,-28.4478,21.2561,56.64,61,84,5.28
264,Nsanje,MW,2022-05-23 00:09:57,-16.92,35.262,69.53,87,5,4.14
265,Humaita,BR,2022-05-23 00:09:57,-7.5061,-63.0208,79.07,67,77,1.1
266,Cabo San Lucas,MX,2022-05-23 00:09:58,22.8909,-109.9124,82.62,44,0,11.5
267,Parana,AR,2022-05-23 00:09:58,-31.732,-60.5238,62.56,76,26,8.88
268,Seoul,KR,2022-05-23 00:09:58,37.5683,126.9778,67.44,61,2,3.98
269,Carbonear,CA,2022-05-23 00:09:58,47.7332,-53.2148,55.62,66,59,11.16
270,Bilibino,RU,2022-05-23 00:09:59,68.0546,166.4372,49.59,54,85,7.09
271,Mersing,MY,2022-05-23 00:09:59,2.4312,103.8405,78.96,87,100,4.34
272,Beremend,HU,2022-05-23 00:09:59,45.7911,18.4326,63.68,64,61,3.15
273,Klaksvik,FO,2022-05-23 00:09:59,62.2266,-6.589,47.32,93,36,8.99
274,Dimitrovgrad,RU,2022-05-23 00:10:00,54.2139,49.6184,36.81,85,98,5.73
275,North Platte,US,2022-05-23 00:10:00,41.1239,-100.7654,63.12,34,100,5.99
276,Upanema,BR,2022-05-23 00:10:00,-5.6419,-37.2578,74.93,86,53,5.5
277,Nanhai,CN,2022-05-23 00:10:00,30.1282,111.7784,68.5,79,39,2.77
278,Latung,PH,2022-05-23 00:10:01,5.5,120.8833,81.9,75,100,2.44
279,Port Pirie,AU,2022-05-23 00:10:03,-33.1833,138.0167,63.68,64,87,5.35
280,Aklavik,CA,2022-05-23 00:10:04,68.2191,-135.0107,36.63,55,97,9.75
281,Manuk Mangkaw,PH,2022-05-23 00:10:04,4.8,119.85,82.63,72,100,3.96
282,Grindavik,IS,2022-05-23 00:10:05,63.8424,-22.4338,43.27,87,0,13.8
